School Name,Division Name,free_reduced_lunch_percentage,Sch_Div
J. Michael Lunsford Middle,Loudoun County Public Schools,10.1,J. Michael Lunsford Middle Loudoun County Public Schools
Waterford Elementary,Loudoun County Public Schools,2.6,Waterford Elementary Loudoun County Public Schools
Banneker Elementary,Loudoun County Public Schools,28.3,Banneker Elementary Loudoun County Public Schools
Round Hill Elementary,Loudoun County Public Schools,6.9,Round Hill Elementary Loudoun County Public Schools
Blue Ridge Middle,Loudoun County Public Schools,11.8,Blue Ridge Middle Loudoun County Public Schools
Emerick Elementary,Loudoun County Public Schools,19,Emerick Elementary Loudoun County Public Schools
Lincoln Elementary,Loudoun County Public Schools,2.2,Lincoln Elementary Loudoun County Public Schools
Woodgrove High,Loudoun County Public Schools,7.4,Woodgrove High Loudoun County Public Schools
Mountain View Elementary,Loudoun County Public Schools,13,Mountain View Elementary Loudoun County Public Schools
Hutchison Farm Elementary,Loudoun County Public Schools,22.5,Hutchison Farm Elementary Loudoun County Public Schools
Potomac Falls High,Loudoun County Public Schools,21.7,Potomac Falls High Loudoun County Public Schools
Frances Hazel Reid Elementary,Loudoun County Public Schools,27.9,Frances Hazel Reid Elementary Loudoun County Public Schools
Farmwell Station Middle,Loudoun County Public Schools,20.2,Farmwell Station Middle Loudoun County Public Schools
Willard Middle,Loudoun County Public Schools,9.6,Willard Middle Loudoun County Public Schools
Meadowland Elementary,Loudoun County Public Schools,49.1,Meadowland Elementary Loudoun County Public Schools
Leesburg Elementary,Loudoun County Public Schools,41.8,Leesburg Elementary Loudoun County Public Schools
Lovettsville Elementary,Loudoun County Public Schools,11.9,Lovettsville Elementary Loudoun County Public Schools
Evergreen Mill Elementary,Loudoun County Public Schools,34.2,Evergreen Mill Elementary Loudoun County Public Schools
Loudoun Valley High,Loudoun County Public Schools,8.7,Loudoun Valley High Loudoun County Public Schools
Ashburn Elementary,Loudoun County Public Schools,14.3,Ashburn Elementary Loudoun County Public Schools
Sycolin Creek Elementary,Loudoun County Public Schools,3.2,Sycolin Creek Elementary Loudoun County Public Schools
Cool Spring Elementary,Loudoun County Public Schools,37.4,Cool Spring Elementary Loudoun County Public Schools
Forest Grove Elementary,Loudoun County Public Schools,60.8,Forest Grove Elementary Loudoun County Public Schools
Little River Elementary,Loudoun County Public Schools,5.3,Little River Elementary Loudoun County Public Schools
Potowmack Elementary,Loudoun County Public Schools,39.4,Potowmack Elementary Loudoun County Public Schools
Dominion Trail Elementary,Loudoun County Public Schools,29.6,Dominion Trail Elementary Loudoun County Public Schools
Rolling Ridge Elementary,Loudoun County Public Schools,67.8,Rolling Ridge Elementary Loudoun County Public Schools
Liberty Elementary,Loudoun County Public Schools,9.5,Liberty Elementary Loudoun County Public Schools
Heritage High,Lynchburg City Public Schools,61.6,Heritage High Lynchburg City Public Schools
William M. Bass Elementary,Lynchburg City Public Schools,92.8,William M. Bass Elementary Lynchburg City Public Schools
Perrymont Elementary,Lynchburg City Public Schools,92.7,Perrymont Elementary Lynchburg City Public Schools
Sheffield Elementary,Lynchburg City Public Schools,92.7,Sheffield Elementary Lynchburg City Public Schools
Heritage Elementary,Lynchburg City Public Schools,92.7,Heritage Elementary Lynchburg City Public Schools
Sandusky Elementary,Lynchburg City Public Schools,92.9,Sandusky Elementary Lynchburg City Public Schools
Sandusky Middle,Lynchburg City Public Schools,92.8,Sandusky Middle Lynchburg City Public Schools
Paul Munro Elementary,Lynchburg City Public Schools,92.8,Paul Munro Elementary Lynchburg City Public Schools
Linkhorne Elementary,Lynchburg City Public Schools,92.8,Linkhorne Elementary Lynchburg City Public Schools
Linkhorne Middle,Lynchburg City Public Schools,92.7,Linkhorne Middle Lynchburg City Public Schools
Bedford Hills Elementary,Lynchburg City Public Schools,92.7,Bedford Hills Elementary Lynchburg City Public Schools
Robert S. Payne Elementary,Lynchburg City Public Schools,92.8,Robert S. Payne Elementary Lynchburg City Public Schools
Madison County High,Madison County Public Schools,40.8,Madison County High Madison County Public Schools
Waverly Yowell Elementary,Madison County Public Schools,42.9,Waverly Yowell Elementary Madison County Public Schools
William H. Wetsel Middle,Madison County Public Schools,47,William H. Wetsel Middle Madison County Public Schools
Mathews Elementary,Mathews County Public Schools,48.8,Mathews Elementary Mathews County Public Schools
Thomas Hunter Middle,Mathews County Public Schools,45.2,Thomas Hunter Middle Mathews County Public Schools
Mathews High,Mathews County Public Schools,42.6,Mathews High Mathews County Public Schools
Hardin Reynolds Memorial School,Patrick County Public Schools,69.2,Hardin Reynolds Memorial School Patrick County Public Schools
Blue Ridge Elementary,Patrick County Public Schools,69.2,Blue Ridge Elementary Patrick County Public Schools
Stuart Elementary,Patrick County Public Schools,69,Stuart Elementary Patrick County Public Schools
Woolwine Elementary,Patrick County Public Schools,69.4,Woolwine Elementary Patrick County Public Schools
Patrick Springs Primary,Patrick County Public Schools,69,Patrick Springs Primary Patrick County Public Schools
Patrick County High,Patrick County Public Schools,69.1,Patrick County High Patrick County Public Schools
Dublin Elementary,Pulaski County Public Schools,79.1,Dublin Elementary Pulaski County Public Schools
Pulaski County Senior High,Pulaski County Public Schools,46.5,Pulaski County Senior High Pulaski County Public Schools
Snowville Elementary,Pulaski County Public Schools,79.2,Snowville Elementary Pulaski County Public Schools
Critzer Elementary,Pulaski County Public Schools,79.1,Critzer Elementary Pulaski County Public Schools
Riverlawn Elementary,Pulaski County Public Schools,79,Riverlawn Elementary Pulaski County Public Schools
Fort Lewis Elementary,Roanoke County Public Schools,21.1,Fort Lewis Elementary Roanoke County Public Schools
Glenvar Elementary,Roanoke County Public Schools,32,Glenvar Elementary Roanoke County Public Schools
Glenvar High,Roanoke County Public Schools,24.5,Glenvar High Roanoke County Public Schools
Glenvar Middle,Roanoke County Public Schools,32.3,Glenvar Middle Roanoke County Public Schools
Mason's Cove Elementary,Roanoke County Public Schools,44.7,Mason's Cove Elementary Roanoke County Public Schools
Herman L. Horn Elementary,Roanoke County Public Schools,48.9,Herman L. Horn Elementary Roanoke County Public Schools
W.E. Cundiff Elementary,Roanoke County Public Schools,41.2,W.E. Cundiff Elementary Roanoke County Public Schools
William Byrd Middle,Roanoke County Public Schools,34,William Byrd Middle Roanoke County Public Schools
Back Creek Elementary,Roanoke County Public Schools,20.3,Back Creek Elementary Roanoke County Public Schools
Cave Spring Elementary,Roanoke County Public Schools,21,Cave Spring Elementary Roanoke County Public Schools
Cave Spring High,Roanoke County Public Schools,16.1,Cave Spring High Roanoke County Public Schools
Green Valley Elementary,Roanoke County Public Schools,28.3,Green Valley Elementary Roanoke County Public Schools
Hidden Valley High,Roanoke County Public Schools,15.8,Hidden Valley High Roanoke County Public Schools
Hidden Valley Middle,Roanoke County Public Schools,22.1,Hidden Valley Middle Roanoke County Public Schools
Penn Forest Elementary,Roanoke County Public Schools,17.5,Penn Forest Elementary Roanoke County Public Schools
Bonsack Elementary,Roanoke County Public Schools,16.7,Bonsack Elementary Roanoke County Public Schools
Burlington Elementary,Roanoke County Public Schools,59,Burlington Elementary Roanoke County Public Schools
Glen Cove Elementary,Roanoke County Public Schools,33.5,Glen Cove Elementary Roanoke County Public Schools
Northside Middle,Roanoke County Public Schools,41.9,Northside Middle Roanoke County Public Schools
Mountain View Elementary,Roanoke County Public Schools,44.8,Mountain View Elementary Roanoke County Public Schools
William Byrd High,Roanoke County Public Schools,28.6,William Byrd High Roanoke County Public Schools
Cave Spring Middle,Roanoke County Public Schools,20.8,Cave Spring Middle Roanoke County Public Schools
Northside High,Roanoke County Public Schools,35.9,Northside High Roanoke County Public Schools
Mount Pleasant Elementary,Roanoke County Public Schools,47.2,Mount Pleasant Elementary Roanoke County Public Schools
Clearbrook Elementary,Roanoke County Public Schools,28.3,Clearbrook Elementary Roanoke County Public Schools
Oak Grove Elementary,Roanoke County Public Schools,33.3,Oak Grove Elementary Roanoke County Public Schools
Lebanon High,Russell County Public Schools,49.7,Lebanon High Russell County Public Schools
Belfast Elementary,Russell County Public Schools,48.4,Belfast Elementary Russell County Public Schools
Castlewood Elementary,Russell County Public Schools,96.1,Castlewood Elementary Russell County Public Schools
Castlewood High,Russell County Public Schools,66.3,Castlewood High Russell County Public Schools
Honaker High,Russell County Public Schools,62.1,Honaker High Russell County Public Schools
Honaker Elementary,Russell County Public Schools,67.1,Honaker Elementary Russell County Public Schools
Lebanon Elementary,Russell County Public Schools,54.5,Lebanon Elementary Russell County Public Schools
Swords Creek Elementary,Russell County Public Schools,76.9,Swords Creek Elementary Russell County Public Schools
Lebanon Middle,Russell County Public Schools,53.4,Lebanon Middle Russell County Public Schools
Pungoteague Elementary,Accomack County Public Schools,91.1,Pungoteague Elementary Accomack County Public Schools
Nandua High,Accomack County Public Schools,91,Nandua High Accomack County Public Schools
Nandua Middle,Accomack County Public Schools,91.1,Nandua Middle Accomack County Public Schools
Accawmacke Elementary,Accomack County Public Schools,91.1,Accawmacke Elementary Accomack County Public Schools
Tangier Combined,Accomack County Public Schools,91.3,Tangier Combined Accomack County Public Schools
Arcadia High,Accomack County Public Schools,91.1,Arcadia High Accomack County Public Schools
Metompkin Elementary,Accomack County Public Schools,91,Metompkin Elementary Accomack County Public Schools
Kegotank Elementary,Accomack County Public Schools,91.1,Kegotank Elementary Accomack County Public Schools
Chincoteague High,Accomack County Public Schools,91.2,Chincoteague High Accomack County Public Schools
Chincoteague Elementary,Accomack County Public Schools,91,Chincoteague Elementary Accomack County Public Schools
George Washington Middle,Alexandria City Public Schools,47.4,George Washington Middle Alexandria City Public Schools
Naomi L. Brooks Elementary,Alexandria City Public Schools,30.5,Naomi L. Brooks Elementary Alexandria City Public Schools
Alexandria City High School,Alexandria City Public Schools,60.1,Alexandria City High School Alexandria City Public Schools
Douglas MacArthur Elementary,Alexandria City Public Schools,36.4,Douglas MacArthur Elementary Alexandria City Public Schools
Francis C. Hammond Middle,Alexandria City Public Schools,77.8,Francis C. Hammond Middle Alexandria City Public Schools
Patrick Henry K-8 School,Alexandria City Public Schools,77.5,Patrick Henry K-8 School Alexandria City Public Schools
Samuel W. Tucker Elementary,Alexandria City Public Schools,58.4,Samuel W. Tucker Elementary Alexandria City Public Schools
Cora Kelly School for Math Science and Technology,Alexandria City Public Schools,87.3,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
Mount Vernon Elementary,Alexandria City Public Schools,50.6,Mount Vernon Elementary Alexandria City Public Schools
Ferdinand T. Day Elementary,Alexandria City Public Schools,82.1,Ferdinand T. Day Elementary Alexandria City Public Schools
John Adams Elementary,Alexandria City Public Schools,72,John Adams Elementary Alexandria City Public Schools
William Ramsay Elementary,Alexandria City Public Schools,85.8,William Ramsay Elementary Alexandria City Public Schools
Jefferson-Houston PK-8 School,Alexandria City Public Schools,63.4,Jefferson-Houston PK-8 School Alexandria City Public Schools
