School Name,Division Name,End_of_Year_Average_Daily_Membership,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Total_Per_Pupil_Expenditures,Total_Expenditures,Sch_Div
Discovery Elementary,Loudoun County Public Schools,690.95,623,15147,13,2246,18028,12456677,Discovery Elementary Loudoun County Public Schools
Sanders Corner Elementary,Loudoun County Public Schools,462.24,487,16625,13,2246,19371,8954101,Sanders Corner Elementary Loudoun County Public Schools
Steuart W. Weller Elementary,Loudoun County Public Schools,651.19,228,17037,13,2246,19524,12713634,Steuart W. Weller Elementary Loudoun County Public Schools
Stone Bridge High,Loudoun County Public Schools,1721.98,420,15630,13,2246,18308,31525977,Stone Bridge High Loudoun County Public Schools
Trailside Middle,Loudoun County Public Schools,1139.45,250,13701,13,2246,16209,18469646,Trailside Middle Loudoun County Public Schools
Brambleton Middle,Loudoun County Public Schools,1631.13,484,11671,13,2246,14414,23511486,Brambleton Middle Loudoun County Public Schools
Creighton's Corner Elementary,Loudoun County Public Schools,1130.52,507,12858,13,2246,15624,17663161,Creighton's Corner Elementary Loudoun County Public Schools
Eagle Ridge Middle,Loudoun County Public Schools,1187.45,302,14416,13,2246,16976,20158474,Eagle Ridge Middle Loudoun County Public Schools
Hillside Elementary,Loudoun County Public Schools,594.04,437,15092,13,2246,17788,10566952,Hillside Elementary Loudoun County Public Schools
Independence High,Loudoun County Public Schools,1823.33,270,14216,13,2246,16745,30531232,Independence High Loudoun County Public Schools
Madison's Trust Elementary,Loudoun County Public Schools,1209.29,594,10755,13,2246,13607,16454978,Madison's Trust Elementary Loudoun County Public Schools
Mill Run Elementary,Loudoun County Public Schools,704.92,332,14336,13,2246,16927,11932003,Mill Run Elementary Loudoun County Public Schools
Moorefield Station Elementary,Loudoun County Public Schools,887.56,588,14741,13,2246,17588,15610779,Moorefield Station Elementary Loudoun County Public Schools
Rock Ridge High,Loudoun County Public Schools,1406.8,475,15418,13,2246,18152,25535966,Rock Ridge High Loudoun County Public Schools
Rosa Lee Carter Elementary,Loudoun County Public Schools,852.09,300,13412,13,2246,15971,13608824,Rosa Lee Carter Elementary Loudoun County Public Schools
Stone Hill Middle,Loudoun County Public Schools,1143.39,230,13783,13,2246,16272,18605178,Stone Hill Middle Loudoun County Public Schools
Waxpool Elementary,Loudoun County Public Schools,741.96,438,14280,13,2246,16976,12595751,Waxpool Elementary Loudoun County Public Schools
Hamilton Elementary,Loudoun County Public Schools,162.67,755,25644,13,2246,28657,4661679,Hamilton Elementary Loudoun County Public Schools
Harmony Middle,Loudoun County Public Schools,1077.08,574,16416,13,2246,19249,20732289,Harmony Middle Loudoun County Public Schools
Kenneth W.Culbert Elementary,Loudoun County Public Schools,443.77,808,20646,13,2246,23713,10523085,Kenneth W.Culbert Elementary Loudoun County Public Schools
Catoctin Elementary,Loudoun County Public Schools,593.82,215,17004,13,2246,19478,11566360,Catoctin Elementary Loudoun County Public Schools
Frederick Douglass Elementary,Loudoun County Public Schools,592.39,456,19787,13,2246,22501,13329604,Frederick Douglass Elementary Loudoun County Public Schools
Heritage High,Loudoun County Public Schools,1474.76,383,18616,13,2246,21257,31349152,Heritage High Loudoun County Public Schools
J. Lupton Simpson Middle,Loudoun County Public Schools,996.78,534,15638,13,2246,18430,18371045,J. Lupton Simpson Middle Loudoun County Public Schools
Loudoun County High,Loudoun County Public Schools,1502.77,331,17423,13,2246,20012,30073981,Loudoun County High Loudoun County Public Schools
Ball's Bluff Elementary,Loudoun County Public Schools,482.63,713,17772,13,2246,20743,10011418,Ball's Bluff Elementary Loudoun County Public Schools
Belmont Ridge Middle,Loudoun County Public Schools,1056.17,274,14534,13,2246,17067,18025494,Belmont Ridge Middle Loudoun County Public Schools
Harper Park Middle,Loudoun County Public Schools,920.92,307,17182,13,2246,19748,18186461,Harper Park Middle Loudoun County Public Schools
Lucketts Elementary,Loudoun County Public Schools,250.68,261,19878,13,2246,22398,5614703,Lucketts Elementary Loudoun County Public Schools
Riverside High,Loudoun County Public Schools,1815.76,368,14532,13,2246,17158,31155667,Riverside High Loudoun County Public Schools
Seldens Landing Elementary,Loudoun County Public Schools,584.74,531,15494,13,2246,18283,10690901,Seldens Landing Elementary Loudoun County Public Schools
Tuscarora High,Loudoun County Public Schools,1410.61,550,17468,13,2246,20277,28603214,Tuscarora High Loudoun County Public Schools
Dominion High,Loudoun County Public Schools,1481.8,522,16968,13,2246,19749,29263920,Dominion High Loudoun County Public Schools
Guilford Elementary,Loudoun County Public Schools,545.64,988,17491,13,2246,20738,11315464,Guilford Elementary Loudoun County Public Schools
