Division Name,School Name,percentage_disadvantaged,percentage_english_learners,percentage_foster_care,percentage_male,percentage_homeless,percentage_military,percentage_disabled,free_reduced_lunch_percentage,chronic_absenteeism_rate,cohort_dropout_rate,Bachelors_Percent,Masters_Percent,Doctoral_Percent
Fairfax County,Weyanoke Elementary,0.6666666666666666,0.5957854406130269,0.0,0.517304189435337,0.0,0.0036429872495446,0.1329690346083788,0.826,0.1884,,28.0,70.0,2.0
Fairfax County,White Oaks Elementary,0.2461752433936022,0.1598173515981735,0.0,0.5048678720445062,0.0,0.1140472878998609,0.1432545201668984,0.2189999999999999,0.0607,,24.0,76.0,0.0
Fairfax County,Whitman Middle,0.6045454545454545,0.3131462333825701,0.0034090909090909,0.5477272727272727,0.0,0.2511363636363636,0.1795454545454545,0.654,0.2628999999999999,,37.0,61.0,0.0
Fairfax County,Willow Springs Elementary,0.1293859649122807,0.1299765807962529,0.0,0.5087719298245614,0.0,0.0307017543859649,0.1195175438596491,0.095,0.114,,19.0,78.0,3.0
Fairfax County,Wolftrap Elementary,0.0238532110091743,0.0360531309297912,0.0,0.5064220183486239,0.0,0.0275229357798165,0.0990825688073394,0.011,0.045,,35.0,63.0,2.0
Fairfax County,Woodburn Elementary,0.5970772442588727,0.5502183406113537,0.0,0.5376569037656904,0.0271398747390396,0.0125260960334029,0.1377870563674321,0.8270000000000001,0.1853999999999999,,21.0,77.0,2.0
Fairfax County,Woodlawn Elementary,0.6848484848484848,0.4387527839643652,0.004040404040404,0.5151515151515151,0.0,0.0747474747474747,0.2141414141414141,0.695,0.2619,,30.0,63.0,0.0
Fairfax County,Woodley Hills Elementary,0.6434262948207171,0.5775862068965517,0.0019920318725099,0.5039840637450199,0.0,0.0438247011952191,0.1733067729083665,0.8270000000000001,0.2623999999999999,,39.0,56.0,2.0
Fairfax County,Woodson High,1.0,1.0,1.0,,,1.0,1.0,0.114,0.2559,0.0171,25.0,72.0,2.0
Falls Church City,Jessie Thackrey  Preschool,0.0,0.0,0.0,0.5555555555555556,0.0,0.037037037037037,0.3703703703703703,,,,,,
Falls Church City,Mary Ellen Henderson Middle,0.0904436860068259,0.0463458110516934,0.0,0.5119453924914675,0.0,0.0477815699658703,0.1245733788395904,0.0,0.0724,,19.0,77.0,2.0
Falls Church City,Meridian High,0.0977620730270907,0.0289156626506024,0.0023557126030624,0.5082547169811321,0.0,0.0435806831566548,0.1177856301531213,0.0,0.1048,0.0045,19.0,76.0,3.0
Falls Church City,Mount Daniel Elementary,0.0473251028806584,0.0847107438016528,0.0020576131687242,0.5205761316872428,0.0,0.0493827160493827,0.0781893004115226,,,,,,
Falls Church City,Oak Street Elementary,0.0752895752895752,0.0590631364562118,0.0,0.5193050193050193,0.0,0.0444015444015444,0.0965250965250965,0.067,0.0504999999999999,,14.0,86.0,0.0
Fauquier County,Auburn Middle,0.1023890784982935,0.0,0.0,0.5307167235494881,0.0,0.0085324232081911,0.1296928327645051,0.125,0.1022,,43.0,53.0,2.0
Fauquier County,C. Hunter Ritchie Elementary,0.1408163265306122,0.0390143737166324,0.0020408163265306,0.5183673469387755,0.0,0.0040816326530612,0.1530612244897959,0.143,0.0742999999999999,,34.0,63.0,0.0
Fauquier County,C.M. Bradley Elementary,0.2601156069364161,0.0997067448680351,0.0,0.5028901734104047,0.0317919075144508,0.0,0.1676300578034682,0.244,0.1283,,53.0,47.0,0.0
Fauquier County,Cedar Lee Middle,0.4211356466876971,0.0836298932384341,0.001577287066246,0.5410094637223974,0.0,0.0126182965299684,0.1419558359621451,0.476,0.074,,49.0,43.0,3.0
Fauquier County,Claude Thompson Elementary,0.4478764478764478,0.3198380566801619,0.0,0.4826254826254826,0.0,0.0038610038610038,0.0849420849420849,0.611,0.1698,,38.0,62.0,0.0
Fauquier County,Fauquier High,0.2234910277324633,1.0,,0.5126530612244898,,1.0,1.0,0.192,0.198,0.0411,40.0,52.0,2.0
Fauquier County,Grace Miller Elementary,0.383399209486166,0.1359026369168357,0.0059288537549407,0.5138339920948617,0.0,0.0098814229249011,0.1343873517786561,0.401,0.1694,,50.0,47.0,0.0
