Division Name,School Name,percentage_disadvantaged,percentage_english_learners,percentage_foster_care,percentage_male,percentage_homeless,percentage_military,percentage_disabled,free_reduced_lunch_percentage,chronic_absenteeism_rate,cohort_dropout_rate,Bachelors_Percent,Masters_Percent,Doctoral_Percent,SOL Pass Rate,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Total_Per_Pupil_Expenditures,Total_Expenditures
Chesterfield County,Bailey Bridge Middle,1.0,1.0,,0.5334608030592735,,1.0,1.0,0.264,0.1858,,47.0,49.0,1.0,0.6659999999999999,98.0,5825.0,543.0,4412.0,10878.0,9033547.0
Fairfax County,Bailey's Elementary School for the Arts and Sciences,0.5791457286432161,0.5799492385786802,0.0,0.5113065326633166,0.0,0.0188442211055276,0.1092964824120603,,,,,,,,,,,,,
Fairfax County,Bailey's Upper Elementary School for the Arts and Sciences,0.6782273603082851,0.7145833333333333,0.0,0.5086705202312138,0.0,0.0134874759152215,0.1483622350674373,0.826,0.183,,28.0,70.0,0.0,0.39333333330000003,710.0,10065.0,694.0,6054.0,17523.0,9411536.0
Albemarle County,Baker-Butler Elem,0.2375366568914956,0.1199400299850075,0.001466275659824,0.4868035190615836,0.0,0.1026392961876832,0.1173020527859237,0.25,0.0951,,32.0,68.0,0.0,0.655,1110.0,11597.0,471.0,3799.0,16977.0,7754282.0
Manassas City,Baldwin Elementary,0.4145234493192133,0.4326018808777429,0.0045385779122541,0.5143721633888049,0.0,0.0242057488653555,0.0983358547655068,0.6,0.1589,,35.0,63.0,0.0,0.5266666667,695.0,14317.0,174.0,2122.0,17308.0,9034329.0
Manassas City,Baldwin Intermediate,0.4598540145985401,0.4477611940298507,0.0036496350364963,0.5437956204379562,0.0,0.010948905109489,0.1131386861313868,0.624,0.163,,38.0,63.0,0.0,0.40666666669999996,820.0,12038.0,174.0,2122.0,15154.0,4119402.0
Loudoun County,Ball's Bluff Elementary,0.288981288981289,0.186695278969957,0.0,0.5405405405405406,0.0249480249480249,0.0166320166320166,0.1205821205821205,0.218,0.0894,,19.0,78.0,2.0,0.6925,988.0,17491.0,13.0,2246.0,20738.0,11315464.0
Loudoun County,Banneker Elementary,0.2651933701657458,0.1694915254237288,0.0,0.5414364640883977,0.0,0.0607734806629834,0.1215469613259668,0.283,0.0718,,22.0,78.0,0.0,0.565,197.0,19150.0,13.0,2246.0,21605.0,9027568.0
Richmond City,Barack Obama Elementary,0.6376811594202898,0.0,0.0,0.463768115942029,0.0,0.0072463768115942,0.1050724637681159,1.0,0.0308,,30.0,70.0,0.0,0.5575,508.0,13557.0,3624.0,5962.0,23651.0,5956012.0
Arlington County,Barcroft Elementary,0.5295454545454545,0.5036496350364964,0.0022727272727272,0.5136363636363637,0.0,0.0227272727272727,0.1318181818181818,0.619,0.1244,,22.0,76.0,0.0,0.5675,0.0,13351.0,968.0,7589.0,21908.0,22305858.0
