School,Division,Poverty_Level,Title1_Code,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,Sch_Div
Laburnum Elementary,Henrico County Public Schools,High Poverty,Title I,0,0,0,Laburnum Elementary Henrico County Public Schools
Fairfield Middle,Henrico County Public Schools,High Poverty,Non-Title I,2.7,6.8,0,Fairfield Middle Henrico County Public Schools
Harold Macon Ratcliffe Elementary,Henrico County Public Schools,High Poverty,Title I,0,3.3,0,Harold Macon Ratcliffe Elementary Henrico County Public Schools
Harvie Elementary,Henrico County Public Schools,High Poverty,Title I,0,2.6,0,Harvie Elementary Henrico County Public Schools
Jacob L. Adams Elementary,Henrico County Public Schools,High Poverty,Title I,3.3,0,0,Jacob L. Adams Elementary Henrico County Public Schools
Chamberlayne Elementary,Henrico County Public Schools,Medium Poverty,Title I,3.4,0,0,Chamberlayne Elementary Henrico County Public Schools
L. Douglas Wilder Middle,Henrico County Public Schools,High Poverty,Non-Title I,6.6,5.3,0,L. Douglas Wilder Middle Henrico County Public Schools
Brookland Middle,Henrico County Public Schools,High Poverty,Non-Title I,0,2.3,0,Brookland Middle Henrico County Public Schools
Elizabeth Holladay Elementary,Henrico County Public Schools,High Poverty,Title I,0,0,0,Elizabeth Holladay Elementary Henrico County Public Schools
George H. Moody Middle,Henrico County Public Schools,Low Poverty,Non-Title I,2.5,1.3,0,George H. Moody Middle Henrico County Public Schools
Hermitage High,Henrico County Public Schools,Medium Poverty,Non-Title I,3.4,4.3,0,Hermitage High Henrico County Public Schools
Lakeside Elementary,Henrico County Public Schools,Medium Poverty,Title I,0,2.9,0,Lakeside Elementary Henrico County Public Schools
Douglas S. Freeman High,Henrico County Public Schools,Medium Poverty,Non-Title I,3.4,5,0.8,Douglas S. Freeman High Henrico County Public Schools
Ridge Elementary,Henrico County Public Schools,High Poverty,Title I,0,0,0,Ridge Elementary Henrico County Public Schools
Three Chopt Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,0,0,0,Three Chopt Elementary Henrico County Public Schools
Tuckahoe Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,0,0,Tuckahoe Elementary Henrico County Public Schools
Tuckahoe Middle,Henrico County Public Schools,Low Poverty,Non-Title I,1.3,1.3,0,Tuckahoe Middle Henrico County Public Schools
Charles M. Johnson Elementary,Henrico County Public Schools,High Poverty,Title I,3.1,0,0,Charles M. Johnson Elementary Henrico County Public Schools
George F. Baker Elementary,Henrico County Public Schools,Medium Poverty,Title I,0,0,0,George F. Baker Elementary Henrico County Public Schools
Henry D. Ward Elementary,Henrico County Public Schools,High Poverty,Title I,2.7,5.4,0,Henry D. Ward Elementary Henrico County Public Schools
John Rolfe Middle,Henrico County Public Schools,High Poverty,Non-Title I,0,1.4,0,John Rolfe Middle Henrico County Public Schools
Montrose Elementary,Henrico County Public Schools,High Poverty,Title I,3.7,0,0,Montrose Elementary Henrico County Public Schools
Varina Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,4.8,0,0,Varina Elementary Henrico County Public Schools
Varina High,Henrico County Public Schools,Medium Poverty,Non-Title I,0.9,2.7,0,Varina High Henrico County Public Schools
Gayton Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,0,0,Gayton Elementary Henrico County Public Schools
Nuckols Farm Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,0,0,Nuckols Farm Elementary Henrico County Public Schools
Pemberton Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,4,0,0,Pemberton Elementary Henrico County Public Schools
Quioccasin Middle,Henrico County Public Schools,Medium Poverty,Non-Title I,1.3,2.5,0,Quioccasin Middle Henrico County Public Schools
Short Pump Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,0,0,Short Pump Elementary Henrico County Public Schools
Mills E. Godwin High,Henrico County Public Schools,Low Poverty,Non-Title I,0.9,0,0,Mills E. Godwin High Henrico County Public Schools
John Randolph Tucker High,Henrico County Public Schools,Medium Poverty,Non-Title I,3.3,2.5,0,John Randolph Tucker High Henrico County Public Schools
R.C. Longan Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,0,0,0,R.C. Longan Elementary Henrico County Public Schools
Cashell Donahoe Elementary,Henrico County Public Schools,High Poverty,Title I,2.8,2.8,0,Cashell Donahoe Elementary Henrico County Public Schools
Elko Middle,Henrico County Public Schools,Medium Poverty,Non-Title I,1.5,1.5,0,Elko Middle Henrico County Public Schools
Sandston Elementary,Henrico County Public Schools,High Poverty,Title I,0,0,0,Sandston Elementary Henrico County Public Schools
Seven Pines Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,0,0,0,Seven Pines Elementary Henrico County Public Schools
Colonial Trail Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,2.4,0,0,Colonial Trail Elementary Henrico County Public Schools
Deep Run High,Henrico County Public Schools,Low Poverty,Non-Title I,0.9,1.8,0,Deep Run High Henrico County Public Schools
Rivers Edge Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,0,0,Rivers Edge Elementary Henrico County Public Schools
Shady Grove Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,2.6,0,0,Shady Grove Elementary Henrico County Public Schools
Twin Hickory Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,2.7,0,0,Twin Hickory Elementary Henrico County Public Schools
Glen Allen High,Henrico County Public Schools,Low Poverty,Non-Title I,2.5,1.7,0,Glen Allen High Henrico County Public Schools
Longdale Elementary,Henrico County Public Schools,High Poverty,Title I,2.9,0,0,Longdale Elementary Henrico County Public Schools
Short Pump Middle,Henrico County Public Schools,Low Poverty,Non-Title I,4.3,2.9,0,Short Pump Middle Henrico County Public Schools
Springfield Park Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,0,0,Springfield Park Elementary Henrico County Public Schools
Fair Oaks Elementary,Henrico County Public Schools,High Poverty,Title I,6.3,0,0,Fair Oaks Elementary Henrico County Public Schools
Highland Springs Elementary,Henrico County Public Schools,High Poverty,Title I,7.7,7.7,0,Highland Springs Elementary Henrico County Public Schools
Highland Springs High,Henrico County Public Schools,Medium Poverty,Non-Title I,2.5,5.9,0,Highland Springs High Henrico County Public Schools
Maude Trevvett Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,2.9,0,0,Maude Trevvett Elementary Henrico County Public Schools
Pocahontas Middle,Henrico County Public Schools,Low Poverty,Non-Title I,3.3,5,0,Pocahontas Middle Henrico County Public Schools
Echo Lake Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,0,0,0,Echo Lake Elementary Henrico County Public Schools
Glen Allen Elementary,Henrico County Public Schools,Low Poverty,Non-Title I,5,0,0,Glen Allen Elementary Henrico County Public Schools
Dumbarton Elementary,Henrico County Public Schools,Medium Poverty,Title I,0,0,0,Dumbarton Elementary Henrico County Public Schools
Crestview Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,0,0,0,Crestview Elementary Henrico County Public Schools
Maybeury Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,3,0,0,Maybeury Elementary Henrico County Public Schools
Henrico High,Henrico County Public Schools,Medium Poverty,Non-Title I,1.7,2.6,0,Henrico High Henrico County Public Schools
Skipwith Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,5.4,0,0,Skipwith Elementary Henrico County Public Schools
Pinchbeck Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,0,0,0,Pinchbeck Elementary Henrico County Public Schools
Ruby F. Carver Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,3.2,0,0,Ruby F. Carver Elementary Henrico County Public Schools
Jackson Davis Elementary,Henrico County Public Schools,Medium Poverty,Non-Title I,0,0,0,Jackson Davis Elementary Henrico County Public Schools
Harrington Waddell Elementary,Lexington City Public Schools,Low Poverty,Title I,0,0,0,Harrington Waddell Elementary Lexington City Public Schools
Lylburn Downing Middle,Lexington City Public Schools,Low Poverty,Non-Title I,5.6,0,0,Lylburn Downing Middle Lexington City Public Schools
Aldie Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,0,6.9,0,Aldie Elementary Loudoun County Public Schools
Arcola Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,3.3,1.1,0,Arcola Elementary Loudoun County Public Schools
Buffalo Trail Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,8.1,1.2,0,Buffalo Trail Elementary Loudoun County Public Schools
Goshen Post Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,12.6,0,0,Goshen Post Elementary Loudoun County Public Schools
John Champe High,Loudoun County Public Schools,Low Poverty,Non-Title I,2.5,3.8,0.6,John Champe High Loudoun County Public Schools
Pinebrook Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,2.5,1.2,0,Pinebrook Elementary Loudoun County Public Schools
Broad Run High,Loudoun County Public Schools,Low Poverty,Non-Title I,2.7,1.4,0,Broad Run High Loudoun County Public Schools
Cedar Lane Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,9,2.6,1.3,Cedar Lane Elementary Loudoun County Public Schools
Discovery Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,3.9,0,0,Discovery Elementary Loudoun County Public Schools
Sanders Corner Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,3.4,1.7,0,Sanders Corner Elementary Loudoun County Public Schools
Steuart W. Weller Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,1.3,0,0,Steuart W. Weller Elementary Loudoun County Public Schools
Stone Bridge High,Loudoun County Public Schools,Low Poverty,Non-Title I,4.5,7.6,1.3,Stone Bridge High Loudoun County Public Schools
Trailside Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,3.5,4.4,0,Trailside Middle Loudoun County Public Schools
Brambleton Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,5.1,2.2,1.5,Brambleton Middle Loudoun County Public Schools
Creighton's Corner Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,3,1,0,Creighton's Corner Elementary Loudoun County Public Schools
Eagle Ridge Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,4.6,1.9,0.9,Eagle Ridge Middle Loudoun County Public Schools
Hillside Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,7.9,0,0,Hillside Elementary Loudoun County Public Schools
Independence High,Loudoun County Public Schools,Low Poverty,Non-Title I,7.2,5.3,0.7,Independence High Loudoun County Public Schools
Madison's Trust Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,4.3,1.1,0,Madison's Trust Elementary Loudoun County Public Schools
Mill Run Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,3.9,0,0,Mill Run Elementary Loudoun County Public Schools
Moorefield Station Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,3.4,2.3,1.1,Moorefield Station Elementary Loudoun County Public Schools
Rock Ridge High,Loudoun County Public Schools,Low Poverty,Non-Title I,7.8,10.2,0.8,Rock Ridge High Loudoun County Public Schools
Rosa Lee Carter Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,2.4,0,0,Rosa Lee Carter Elementary Loudoun County Public Schools
Stone Hill Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,5.6,2.8,0,Stone Hill Middle Loudoun County Public Schools
Waxpool Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,5.1,0,0,Waxpool Elementary Loudoun County Public Schools
Hamilton Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,2.9,0,0,Hamilton Elementary Loudoun County Public Schools
Harmony Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,0.9,0.9,0.9,Harmony Middle Loudoun County Public Schools
Kenneth W.Culbert Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,1.6,1.6,0,Kenneth W.Culbert Elementary Loudoun County Public Schools
Catoctin Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,1.4,1.4,0,Catoctin Elementary Loudoun County Public Schools
Frederick Douglass Elementary,Loudoun County Public Schools,Medium Poverty,Non-Title I,4.6,0,0,Frederick Douglass Elementary Loudoun County Public Schools
Heritage High,Loudoun County Public Schools,Low Poverty,Non-Title I,4.4,5.7,1.3,Heritage High Loudoun County Public Schools
J. Lupton Simpson Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,4.4,0.9,0,J. Lupton Simpson Middle Loudoun County Public Schools
Loudoun County High,Loudoun County Public Schools,Low Poverty,Non-Title I,2.7,2.7,0,Loudoun County High Loudoun County Public Schools
Ball's Bluff Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,1.6,1.6,1.6,Ball's Bluff Elementary Loudoun County Public Schools
Belmont Ridge Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,4.7,1.9,0.9,Belmont Ridge Middle Loudoun County Public Schools
Harper Park Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,4.8,1.9,0,Harper Park Middle Loudoun County Public Schools
Lucketts Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,0,0,0,Lucketts Elementary Loudoun County Public Schools
Riverside High,Loudoun County Public Schools,Low Poverty,Non-Title I,2.5,1.9,0,Riverside High Loudoun County Public Schools
Seldens Landing Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,1.5,1.5,0,Seldens Landing Elementary Loudoun County Public Schools
Tuscarora High,Loudoun County Public Schools,Low Poverty,Non-Title I,2.1,7,0,Tuscarora High Loudoun County Public Schools
Dominion High,Loudoun County Public Schools,Low Poverty,Non-Title I,7.1,1.3,0.6,Dominion High Loudoun County Public Schools
Guilford Elementary,Loudoun County Public Schools,High Poverty,Title I,3.8,2.6,1.3,Guilford Elementary Loudoun County Public Schools
Park View High,Loudoun County Public Schools,High Poverty,Title I,8.8,8.1,3.1,Park View High Loudoun County Public Schools
Seneca Ridge Middle,Loudoun County Public Schools,Medium Poverty,Non-Title I,3.4,3.4,0.9,Seneca Ridge Middle Loudoun County Public Schools
Sterling Elementary,Loudoun County Public Schools,Medium Poverty,Title I,8.5,0,0,Sterling Elementary Loudoun County Public Schools
Sterling Middle,Loudoun County Public Schools,High Poverty,Title I,3.8,3,0.8,Sterling Middle Loudoun County Public Schools
Sugarland Elementary,Loudoun County Public Schools,Medium Poverty,Title I,0,1.4,0,Sugarland Elementary Loudoun County Public Schools
Sully Elementary,Loudoun County Public Schools,High Poverty,Title I,4.5,0,0,Sully Elementary Loudoun County Public Schools
Algonkian Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,3.4,3.4,0,Algonkian Elementary Loudoun County Public Schools
Countryside Elementary,Loudoun County Public Schools,Medium Poverty,Non-Title I,9.5,4.8,1.2,Countryside Elementary Loudoun County Public Schools
Horizon Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,3.2,3.2,1.6,Horizon Elementary Loudoun County Public Schools
Lowes Island Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,1.6,1.6,0,Lowes Island Elementary Loudoun County Public Schools
River Bend Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,4.9,1.6,1.6,River Bend Middle Loudoun County Public Schools
J. Michael Lunsford Middle,Loudoun County Public Schools,Low Poverty,Non-Title I,0.8,1.6,0,J. Michael Lunsford Middle Loudoun County Public Schools
Waterford Elementary,Loudoun County Public Schools,Low Poverty,Non-Title I,0,0,0,Waterford Elementary Loudoun County Public Schools
