School,Division,Degree_Percent,Degree_Type,Sch_Div
Forest Hills Elementary,Danville City Public Schools,46,Bachelor's Degree,Forest Hills Elementary Danville City Public Schools
Forest Hills Elementary,Danville City Public Schools,50,Master's Degree,Forest Hills Elementary Danville City Public Schools
Forest Hills Elementary,Danville City Public Schools,4,Doctoral Degree,Forest Hills Elementary Danville City Public Schools
Galileo Magnet High,Danville City Public Schools,46,Bachelor's Degree,Galileo Magnet High Danville City Public Schools
Galileo Magnet High,Danville City Public Schools,50,Master's Degree,Galileo Magnet High Danville City Public Schools
Galileo Magnet High,Danville City Public Schools,0,Doctoral Degree,Galileo Magnet High Danville City Public Schools
George Washington High,Danville City Public Schools,32,Bachelor's Degree,George Washington High Danville City Public Schools
George Washington High,Danville City Public Schools,61,Master's Degree,George Washington High Danville City Public Schools
George Washington High,Danville City Public Schools,3,Doctoral Degree,George Washington High Danville City Public Schools
Park Avenue Elementary,Danville City Public Schools,67,Bachelor's Degree,Park Avenue Elementary Danville City Public Schools
Park Avenue Elementary,Danville City Public Schools,33,Master's Degree,Park Avenue Elementary Danville City Public Schools
Park Avenue Elementary,Danville City Public Schools,0,Doctoral Degree,Park Avenue Elementary Danville City Public Schools
Schoolfield Elementary,Danville City Public Schools,61,Bachelor's Degree,Schoolfield Elementary Danville City Public Schools
Schoolfield Elementary,Danville City Public Schools,39,Master's Degree,Schoolfield Elementary Danville City Public Schools
Schoolfield Elementary,Danville City Public Schools,0,Doctoral Degree,Schoolfield Elementary Danville City Public Schools
Franklin High,Franklin City Public Schools,38,Bachelor's Degree,Franklin High Franklin City Public Schools
Franklin High,Franklin City Public Schools,38,Master's Degree,Franklin High Franklin City Public Schools
Franklin High,Franklin City Public Schools,3,Doctoral Degree,Franklin High Franklin City Public Schools
Joseph P. King Jr. Middle,Franklin City Public Schools,58,Bachelor's Degree,Joseph P. King Jr. Middle Franklin City Public Schools
Joseph P. King Jr. Middle,Franklin City Public Schools,29,Master's Degree,Joseph P. King Jr. Middle Franklin City Public Schools
Joseph P. King Jr. Middle,Franklin City Public Schools,4,Doctoral Degree,Joseph P. King Jr. Middle Franklin City Public Schools
S.P. Morton Elementary,Franklin City Public Schools,38,Bachelor's Degree,S.P. Morton Elementary Franklin City Public Schools
S.P. Morton Elementary,Franklin City Public Schools,36,Master's Degree,S.P. Morton Elementary Franklin City Public Schools
S.P. Morton Elementary,Franklin City Public Schools,3,Doctoral Degree,S.P. Morton Elementary Franklin City Public Schools
Ruckersville Elementary,Greene County Public Schools,41,Bachelor's Degree,Ruckersville Elementary Greene County Public Schools
Ruckersville Elementary,Greene County Public Schools,56,Master's Degree,Ruckersville Elementary Greene County Public Schools
Ruckersville Elementary,Greene County Public Schools,0,Doctoral Degree,Ruckersville Elementary Greene County Public Schools
Nathanael Greene Elementary,Greene County Public Schools,31,Bachelor's Degree,Nathanael Greene Elementary Greene County Public Schools
Nathanael Greene Elementary,Greene County Public Schools,66,Master's Degree,Nathanael Greene Elementary Greene County Public Schools
Nathanael Greene Elementary,Greene County Public Schools,0,Doctoral Degree,Nathanael Greene Elementary Greene County Public Schools
William Monroe High,Greene County Public Schools,40,Bachelor's Degree,William Monroe High Greene County Public Schools
William Monroe High,Greene County Public Schools,53,Master's Degree,William Monroe High Greene County Public Schools
William Monroe High,Greene County Public Schools,1,Doctoral Degree,William Monroe High Greene County Public Schools
William Monroe Middle,Greene County Public Schools,49,Bachelor's Degree,William Monroe Middle Greene County Public Schools
William Monroe Middle,Greene County Public Schools,49,Master's Degree,William Monroe Middle Greene County Public Schools
