School,Division,Poverty_Level,Title_1_Code,Provisional_Percent,Sch_Div
Westwood Middle,Danville City Public Schools,High Poverty,Title I,9.8,Westwood Middle Danville City Public Schools
Woodberry Hills Elementary,Danville City Public Schools,High Poverty,Title I,15.2,Woodberry Hills Elementary Danville City Public Schools
Edwin A. Gibson Elementary,Danville City Public Schools,High Poverty,Title I,6.7,Edwin A. Gibson Elementary Danville City Public Schools
Forest Hills Elementary,Danville City Public Schools,High Poverty,Title I,4.5,Forest Hills Elementary Danville City Public Schools
Galileo Magnet High,Danville City Public Schools,High Poverty,Non-Title I,0,Galileo Magnet High Danville City Public Schools
George Washington High,Danville City Public Schools,High Poverty,Non-Title I,15.6,George Washington High Danville City Public Schools
Park Avenue Elementary,Danville City Public Schools,High Poverty,Title I,12.9,Park Avenue Elementary Danville City Public Schools
Schoolfield Elementary,Danville City Public Schools,High Poverty,Title I,20,Schoolfield Elementary Danville City Public Schools
Franklin High,Franklin City Public Schools,High Poverty,Non-Title I,19.2,Franklin High Franklin City Public Schools
Joseph P. King Jr. Middle,Franklin City Public Schools,High Poverty,Title I,31.8,Joseph P. King Jr. Middle Franklin City Public Schools
S.P. Morton Elementary,Franklin City Public Schools,High Poverty,Title I,22.2,S.P. Morton Elementary Franklin City Public Schools
Ruckersville Elementary,Greene County Public Schools,Medium Poverty,Non-Title I,5.6,Ruckersville Elementary Greene County Public Schools
Nathanael Greene Elementary,Greene County Public Schools,Medium Poverty,Title I,0,Nathanael Greene Elementary Greene County Public Schools
William Monroe High,Greene County Public Schools,Medium Poverty,Non-Title I,6.8,William Monroe High Greene County Public Schools
William Monroe Middle,Greene County Public Schools,Medium Poverty,Non-Title I,7.1,William Monroe Middle Greene County Public Schools
Dupont Elementary,Hopewell City Public Schools,High Poverty,Title I,9.3,Dupont Elementary Hopewell City Public Schools
Harry E. James Elementary,Hopewell City Public Schools,High Poverty,Title I,7.4,Harry E. James Elementary Hopewell City Public Schools
Hopewell High,Hopewell City Public Schools,High Poverty,Non-Title I,9.8,Hopewell High Hopewell City Public Schools
Carter G. Woodson Middle,Hopewell City Public Schools,High Poverty,Title I,12.9,Carter G. Woodson Middle Hopewell City Public Schools
Patrick Copeland Elementary,Hopewell City Public Schools,High Poverty,Title I,13.2,Patrick Copeland Elementary Hopewell City Public Schools
Thomas Jefferson Elementary,Louisa County Public Schools,Medium Poverty,Title I,7.9,Thomas Jefferson Elementary Louisa County Public Schools
Trevilians Elementary,Louisa County Public Schools,Medium Poverty,Title I,11.8,Trevilians Elementary Louisa County Public Schools
Jouett Elementary,Louisa County Public Schools,Medium Poverty,Title I,5.3,Jouett Elementary Louisa County Public Schools
Louisa County High,Louisa County Public Schools,Medium Poverty,Non-Title I,14.3,Louisa County High Louisa County Public Schools
Louisa County Middle,Louisa County Public Schools,Medium Poverty,Non-Title I,9.6,Louisa County Middle Louisa County Public Schools
Moss-Nuckols Elementary,Louisa County Public Schools,Medium Poverty,Title I,13.6,Moss-Nuckols Elementary Louisa County Public Schools
Baldwin Intermediate,Manassas City Public Schools,Medium Poverty,Non-Title I,4.3,Baldwin Intermediate Manassas City Public Schools
Mayfield Intermediate,Manassas City Public Schools,Medium Poverty,Non-Title I,8.3,Mayfield Intermediate Manassas City Public Schools
Richard C. Haydon Elementary,Manassas City Public Schools,Medium Poverty,Title I,14.3,Richard C. Haydon Elementary Manassas City Public Schools
Weems Elementary,Manassas City Public Schools,Medium Poverty,Title I,0,Weems Elementary Manassas City Public Schools
Osbourn High,Manassas City Public Schools,Medium Poverty,Non-Title I,13.6,Osbourn High Manassas City Public Schools
Baldwin Elementary,Manassas City Public Schools,Medium Poverty,Title I,1.9,Baldwin Elementary Manassas City Public Schools
George Carr Round Elementary,Manassas City Public Schools,Medium Poverty,Title I,6.5,George Carr Round Elementary Manassas City Public Schools
Jennie Dean Elementary,Manassas City Public Schools,Medium Poverty,Title I,12.5,Jennie Dean Elementary Manassas City Public Schools
Nelson County High,Nelson County Public Schools,Medium Poverty,Non-Title I,8.8,Nelson County High Nelson County Public Schools
Nelson Middle,Nelson County Public Schools,Medium Poverty,Non-Title I,7.3,Nelson Middle Nelson County Public Schools
Rockfish River Elementary,Nelson County Public Schools,Medium Poverty,Title I,7.1,Rockfish River Elementary Nelson County Public Schools
Tye River Elementary,Nelson County Public Schools,Medium Poverty,Title I,11.1,Tye River Elementary Nelson County Public Schools
Orange Elementary,Orange County Public Schools,Medium Poverty,Title I,0,Orange Elementary Orange County Public Schools
Prospect Heights Middle,Orange County Public Schools,Medium Poverty,Non-Title I,7.8,Prospect Heights Middle Orange County Public Schools
Locust Grove Elementary,Orange County Public Schools,Medium Poverty,Non-Title I,2.9,Locust Grove Elementary Orange County Public Schools
Locust Grove Middle,Orange County Public Schools,Medium Poverty,Non-Title I,7.3,Locust Grove Middle Orange County Public Schools
Gordon-Barbour Elementary,Orange County Public Schools,Medium Poverty,Title I,0,Gordon-Barbour Elementary Orange County Public Schools
Lightfoot Elementary,Orange County Public Schools,Medium Poverty,Title I,3.7,Lightfoot Elementary Orange County Public Schools
Poquoson Elementary,Poquoson City Public Schools,Low Poverty,Title I,2.9,Poquoson Elementary Poquoson City Public Schools
Poquoson Middle,Poquoson City Public Schools,Low Poverty,Non-Title I,7.5,Poquoson Middle Poquoson City Public Schools
Poquoson High,Poquoson City Public Schools,Low Poverty,Non-Title I,0,Poquoson High Poquoson City Public Schools
Binford Middle,Richmond City Public Schools,High Poverty,Title I,7.9,Binford Middle Richmond City Public Schools
John B. Cary Elementary,Richmond City Public Schools,High Poverty,Title I,4.8,John B. Cary Elementary Richmond City Public Schools
River City Middle,Richmond City Public Schools,High Poverty,Title I,21.4,River City Middle Richmond City Public Schools
George Wythe High,Richmond City Public Schools,High Poverty,Title I,25.3,George Wythe High Richmond City Public Schools
Lucille M. Brown Middle,Richmond City Public Schools,High Poverty,Title I,22.6,Lucille M. Brown Middle Richmond City Public Schools
Miles Jones Elementary,Richmond City Public Schools,High Poverty,Title I,17.1,Miles Jones Elementary Richmond City Public Schools
Ginter Park Elementary,Richmond City Public Schools,High Poverty,Title I,13,Ginter Park Elementary Richmond City Public Schools
George W. Carver Elementary,Richmond City Public Schools,High Poverty,Title I,22.2,George W. Carver Elementary Richmond City Public Schools
Open High,Richmond City Public Schools,High Poverty,Non-Title I,6.3,Open High Richmond City Public Schools
Amelia Street Special Education,Richmond City Public Schools,High Poverty,Title I,25,Amelia Street Special Education Richmond City Public Schools
Albert Hill Middle,Richmond City Public Schools,High Poverty,Title I,15.1,Albert Hill Middle Richmond City Public Schools
Barack Obama Elementary,Richmond City Public Schools,High Poverty,Title I,0,Barack Obama Elementary Richmond City Public Schools
Richmond Community High,Richmond City Public Schools,High Poverty,Non-Title I,15,Richmond Community High Richmond City Public Schools
Overby-Sheppard Elementary,Richmond City Public Schools,High Poverty,Title I,28.6,Overby-Sheppard Elementary Richmond City Public Schools
Fairfield Court Elementary,Richmond City Public Schools,High Poverty,Title I,13,Fairfield Court Elementary Richmond City Public Schools
Woodville Elementary,Richmond City Public Schools,High Poverty,Title I,18.5,Woodville Elementary Richmond City Public Schools
Henry Marsh III Elementary,Richmond City Public Schools,High Poverty,Title I,21.2,Henry Marsh III Elementary Richmond City Public Schools
Bellevue Elementary,Richmond City Public Schools,High Poverty,Title I,10.5,Bellevue Elementary Richmond City Public Schools
Chimborazo Elementary,Richmond City Public Schools,High Poverty,Title I,4,Chimborazo Elementary Richmond City Public Schools
Swansboro Elementary,Richmond City Public Schools,High Poverty,Title I,11.1,Swansboro Elementary Richmond City Public Schools
Blackwell Elementary,Richmond City Public Schools,High Poverty,Title I,21.9,Blackwell Elementary Richmond City Public Schools
Cardinal Elementary,Richmond City Public Schools,High Poverty,Title I,9.8,Cardinal Elementary Richmond City Public Schools
J.L. Francis Elementary,Richmond City Public Schools,High Poverty,Title I,19.4,J.L. Francis Elementary Richmond City Public Schools
Oak Grove/Bellemeade Elementary,Richmond City Public Schools,High Poverty,Title I,33.3,Oak Grove/Bellemeade Elementary Richmond City Public Schools
Southampton Elementary,Richmond City Public Schools,High Poverty,Title I,6.5,Southampton Elementary Richmond City Public Schools
Huguenot High,Richmond City Public Schools,High Poverty,Title I,10.6,Huguenot High Richmond City Public Schools
Elizabeth D. Redd Elementary,Richmond City Public Schools,High Poverty,Title I,0,Elizabeth D. Redd Elementary Richmond City Public Schools
Westover Hills Elementary,Richmond City Public Schools,High Poverty,Title I,7.1,Westover Hills Elementary Richmond City Public Schools
G.H. Reid Elementary,Richmond City Public Schools,High Poverty,Title I,19.5,G.H. Reid Elementary Richmond City Public Schools
Mary Munford Elementary,Richmond City Public Schools,High Poverty,Non-Title I,4.3,Mary Munford Elementary Richmond City Public Schools
Henderson Middle,Richmond City Public Schools,High Poverty,Title I,34.8,Henderson Middle Richmond City Public Schools
John Marshall High,Richmond City Public Schools,High Poverty,Title I,12.5,John Marshall High Richmond City Public Schools
Thomas Jefferson High,Richmond City Public Schools,High Poverty,Title I,18,Thomas Jefferson High Richmond City Public Schools
Broad Rock Elementary,Richmond City Public Schools,High Poverty,Title I,2.4,Broad Rock Elementary Richmond City Public Schools
Thomas C. Boushall Middle,Richmond City Public Schools,High Poverty,Title I,26.4,Thomas C. Boushall Middle Richmond City Public Schools
J.B. Fisher Elementary,Richmond City Public Schools,High Poverty,Title I,0,J.B. Fisher Elementary Richmond City Public Schools
Linwood Holton Elementary,Richmond City Public Schools,High Poverty,Non-Title I,8.8,Linwood Holton Elementary Richmond City Public Schools
Franklin Military Academy,Richmond City Public Schools,High Poverty,Title I,15.8,Franklin Military Academy Richmond City Public Schools
William Fox Elementary,Richmond City Public Schools,High Poverty,Non-Title I,3.6,William Fox Elementary Richmond City Public Schools
Arthur R. Ware Elementary,Staunton City Public Schools,Medium Poverty,Title I,3.1,Arthur R. Ware Elementary Staunton City Public Schools
Thomas C. McSwain Elementary,Staunton City Public Schools,Medium Poverty,Title I,0,Thomas C. McSwain Elementary Staunton City Public Schools
Staunton High,Staunton City Public Schools,Medium Poverty,Non-Title I,7.9,Staunton High Staunton City Public Schools
Shelburne Middle,Staunton City Public Schools,High Poverty,Non-Title I,8.7,Shelburne Middle Staunton City Public Schools
Bessie Weller Elementary,Staunton City Public Schools,Medium Poverty,Title I,0,Bessie Weller Elementary Staunton City Public Schools
Sussex Central High,Sussex County Public Schools,High Poverty,Non-Title I,25,Sussex Central High Sussex County Public Schools
Sussex Central Elementary,Sussex County Public Schools,High Poverty,Title I,8.9,Sussex Central Elementary Sussex County Public Schools
Sussex Central Middle,Sussex County Public Schools,High Poverty,Title I,7.4,Sussex Central Middle Sussex County Public Schools
E. Wilson Morrison Elementary,Warren County Public Schools,High Poverty,Title I,8.7,E. Wilson Morrison Elementary Warren County Public Schools
Hilda J. Barbour Elementary,Warren County Public Schools,Medium Poverty,Title I,2.4,Hilda J. Barbour Elementary Warren County Public Schools
Leslie Fox Keyser Elementary,Warren County Public Schools,Medium Poverty,Title I,12.5,Leslie Fox Keyser Elementary Warren County Public Schools
Ressie Jeffries Elementary,Warren County Public Schools,Medium Poverty,Title I,8.9,Ressie Jeffries Elementary Warren County Public Schools
Skyline High,Warren County Public Schools,Medium Poverty,Non-Title I,6.5,Skyline High Warren County Public Schools
Skyline Middle,Warren County Public Schools,Medium Poverty,Non-Title I,20.3,Skyline Middle Warren County Public Schools
Warren County High,Warren County Public Schools,Medium Poverty,Non-Title I,7.3,Warren County High Warren County Public Schools
Warren County Middle,Warren County Public Schools,Medium Poverty,Non-Title I,6.6,Warren County Middle Warren County Public Schools
A.S. Rhodes Elementary,Warren County Public Schools,Medium Poverty,Non-Title I,4,A.S. Rhodes Elementary Warren County Public Schools
Amherst County High,Amherst County Public Schools,Medium Poverty,Non-Title I,8.3,Amherst County High Amherst County Public Schools
Amherst Elementary,Amherst County Public Schools,Medium Poverty,Title I,0,Amherst Elementary Amherst County Public Schools
Amherst Middle,Amherst County Public Schools,Medium Poverty,Non-Title I,7.3,Amherst Middle Amherst County Public Schools
